"Site Time","Visitor Parking Weather Station 1 - Amb T; Mod T1; Wind: Ambient temp (TempF) Degrees Fahrenheit","West Garage Weather Station 1 - Amb T; Mod T1; Wind: Ambient temp (TempF) Degrees Fahrenheit","Lakeside Garage Weather Station 1 - Amb T; Mod T1; Wind: Ambient temp (TempF) Degrees Fahrenheit"
11-15-2024 00:00:00,42.406,44.087,42.429
11-15-2024 01:00:00,42.31,44.07,42.439
11-15-2024 02:00:00,42.247,43.973,42.411
11-15-2024 03:00:00,41.684,43.417,41.793
11-15-2024 04:00:00,41.534,43.192,41.637
11-15-2024 05:00:00,41.442,43.067,41.317
11-15-2024 06:00:00,41.695,43.285,41.589
11-15-2024 07:00:00,42.843,44.461,42.608
11-15-2024 08:00:00,44.519,46.1,44.499
11-15-2024 09:00:00,48.196,49.875,47.717
11-15-2024 10:00:00,52.049,54.254,51.781
11-15-2024 11:00:00,54.585,57.452,54.855
11-15-2024 12:00:00,57.241,59.763,57.885
11-15-2024 13:00:00,58.1,59.675,58.988
11-15-2024 14:00:00,58.507,59.775,59.553
11-15-2024 15:00:00,57.798,59.199,58.284
11-15-2024 16:00:00,56.118,57.216,55.94
11-15-2024 17:00:00,53.437,54.421,52.931
11-15-2024 18:00:00,51.419,52.039,50.739
11-15-2024 19:00:00,50.361,50.803,49.452
11-15-2024 20:00:00,49.463,50.22,48.928
11-15-2024 21:00:00,49.09,49.758,48.541
11-15-2024 22:00:00,48.341,49.265,48.064
11-15-2024 23:00:00,47.673,48.571,47.338
11-16-2024 00:00:00,46.968,47.965,46.858
11-16-2024 01:00:00,46.599,47.532,46.381
11-16-2024 02:00:00,46.293,47.149,46.036
11-16-2024 03:00:00,46.204,46.847,45.774
11-16-2024 04:00:00,46.634,47.485,46.456
11-16-2024 05:00:00,46.87,47.937,46.913
11-16-2024 06:00:00,47.279,48.394,47.277
11-16-2024 07:00:00,48.515,49.802,48.342
11-16-2024 08:00:00,52.41,54.029,51.903
11-16-2024 09:00:00,55.308,57.637,54.98
11-16-2024 10:00:00,56.65,59.806,56.978
11-16-2024 11:00:00,58.511,62.305,59.334
11-16-2024 12:00:00,60.063,63.397,61.3
11-16-2024 13:00:00,60.609,62.653,61.926
11-16-2024 14:00:00,61,62.536,62.06
11-16-2024 15:00:00,60.461,61.998,60.927
11-16-2024 16:00:00,58.867,60.099,58.875
11-16-2024 17:00:00,57.023,58.159,56.923
11-16-2024 18:00:00,55.401,56.317,54.969
11-16-2024 19:00:00,53.899,54.181,52.905
11-16-2024 20:00:00,52.992,53.232,52.134
11-16-2024 21:00:00,52.41,52.752,51.659
11-16-2024 22:00:00,51.16,50.443,49.814
11-16-2024 23:00:00,48.975,46.737,46.803
11-17-2024 00:00:00,48.589,47.421,47.33
11-17-2024 01:00:00,47.705,47.891,47.083
11-17-2024 02:00:00,47.166,47.343,46.497
11-17-2024 03:00:00,45.946,44.635,44.034
11-17-2024 04:00:00,45.087,42.309,41.898
11-17-2024 05:00:00,43.102,39.408,38.913
11-17-2024 06:00:00,41.956,38.413,37.067
11-17-2024 07:00:00,43.267,39.702,37.971
11-17-2024 08:00:00,49.144,47.287,44.894
11-17-2024 09:00:00,53.424,55.124,52.45
11-17-2024 10:00:00,57.249,59.878,57.468
11-17-2024 11:00:00,60.945,63.554,62.538
11-17-2024 12:00:00,62.619,65.427,64.913
11-17-2024 13:00:00,63.407,65.323,65.09
11-17-2024 14:00:00,62.604,64.672,63.754
