"Site Time","Visitor Parking Weather Station 2 - GHI; Mod T2, Module temp Degrees Fahrenheit","West Garage Weather Station 2 - GHI; Mod T2, Module temp Degrees Fahrenheit","Lakeside Garage Weather Station 2 - GHI; Mod T2, Module temp Degrees Fahrenheit"
11-15-2024 00:00:00,40.726,40.271,40.479
11-15-2024 01:00:00,41.038,40.522,40.685
11-15-2024 02:00:00,40.687,40.247,40.687
11-15-2024 03:00:00,40.146,39.649,40.101
11-15-2024 04:00:00,39.823,39.397,39.91
11-15-2024 05:00:00,39.068,38.574,39.31
11-15-2024 06:00:00,38.952,38.493,39.092
11-15-2024 07:00:00,42.414,42.106,42.131
11-15-2024 08:00:00,48.868,48.971,47.242
11-15-2024 09:00:00,58.601,59.818,55.231
11-15-2024 10:00:00,67.698,68.839,63.063
11-15-2024 11:00:00,73.947,75.967,68.347
11-15-2024 12:00:00,76.852,78.284,71.077
11-15-2024 13:00:00,73.213,65.508,68.952
11-15-2024 14:00:00,69.273,58.665,67.118
11-15-2024 15:00:00,60.638,54.183,60.415
11-15-2024 16:00:00,52.227,49.184,51.982
11-15-2024 17:00:00,47.312,45.431,47.861
11-15-2024 18:00:00,45.019,42.569,45.599
11-15-2024 19:00:00,43.897,41.112,43.711
11-15-2024 20:00:00,43.996,41.14,44.364
11-15-2024 21:00:00,43.239,40.652,43.689
11-15-2024 22:00:00,42.882,40.437,43.651
11-15-2024 23:00:00,42.627,40.018,42.835
11-16-2024 00:00:00,41.976,39.887,43.028
11-16-2024 01:00:00,41.704,39.172,42.217
11-16-2024 02:00:00,40.86,38.593,41.783
11-16-2024 03:00:00,40.031,38.23,41.14
11-16-2024 04:00:00,41.02,39.421,42.104
11-16-2024 05:00:00,42.112,40.127,43.111
11-16-2024 06:00:00,42.875,40.829,43.622
11-16-2024 07:00:00,46.384,44.741,46.368
11-16-2024 08:00:00,56.117,55.96,54.059
11-16-2024 09:00:00,65.103,66.581,60.767
11-16-2024 10:00:00,70.25,73.523,65.615
11-16-2024 11:00:00,74.892,79.447,70.541
11-16-2024 12:00:00,76.708,79.299,72.35
11-16-2024 13:00:00,73.863,67.626,70.787
11-16-2024 14:00:00,69.787,60.666,67.675
11-16-2024 15:00:00,62.731,56.627,62.415
11-16-2024 16:00:00,54.444,51.585,54.972
11-16-2024 17:00:00,51.329,48.543,52.197
11-16-2024 18:00:00,49.097,46.709,49.578
11-16-2024 19:00:00,46.441,43.975,46.477
11-16-2024 20:00:00,46.055,43.341,46.391
11-16-2024 21:00:00,45.028,42.869,46.014
11-16-2024 22:00:00,42.435,39.987,42.902
11-16-2024 23:00:00,40.317,36.627,39.603
11-17-2024 00:00:00,40.967,37.757,41.451
11-17-2024 01:00:00,41.617,38.924,42.517
11-17-2024 02:00:00,40.36,38.484,41.4
11-17-2024 03:00:00,38.295,35.612,37.722
11-17-2024 04:00:00,38.045,33.353,35.845
11-17-2024 05:00:00,35.842,30.956,32.618
11-17-2024 06:00:00,34.402,30.165,31.269
11-17-2024 07:00:00,37.647,33.988,34.673
11-17-2024 08:00:00,52.881,50.25,49.4
11-17-2024 09:00:00,65.514,66.135,61.573
11-17-2024 10:00:00,76.651,76.888,72.019
11-17-2024 11:00:00,83.392,81.255,79.796
11-17-2024 12:00:00,81.223,79.748,78.506
11-17-2024 13:00:00,74.644,69.676,73.251
11-17-2024 14:00:00,69.089,65.997,68.168
11-17-2024 15:00:00,60.849,58.872,60.577
11-17-2024 16:00:00,53.463,51.017,52.295
11-17-2024 17:00:00,50.813,46.609,48.197
11-17-2024 18:00:00,50.245,45.364,47.008
11-17-2024 19:00:00,48.587,43.013,45.251
11-17-2024 20:00:00,46.7,43.234,45.453
11-17-2024 21:00:00,44.022,39.697,41.942
11-17-2024 22:00:00,41.065,36.906,38.397
11-17-2024 23:00:00,40.439,36.157,37.443
11-18-2024 00:00:00,41.268,36.719,38.644
11-18-2024 01:00:00,40.586,36.388,39.511
11-18-2024 02:00:00,40.158,36.489,38.348
11-18-2024 03:00:00,43.322,41.07,42.137
11-18-2024 04:00:00,43.464,41.865,42.905
11-18-2024 05:00:00,44.095,42.511,43.573
11-18-2024 06:00:00,44.644,42.53,44.141
11-18-2024 07:00:00,47.675,46.058,46.974
11-18-2024 08:00:00,58.065,57.386,55.897
11-18-2024 09:00:00,69.493,70.991,66.423
11-18-2024 10:00:00,76.381,80.184,71.151
11-18-2024 11:00:00,79.464,82.594,73.388
11-18-2024 12:00:00,80.719,82.415,77.057
11-18-2024 13:00:00,79.065,70.213,75.983
11-18-2024 14:00:00,74.462,65.352,72.577
11-18-2024 15:00:00,66.707,60.666,66.368
11-18-2024 16:00:00,58.032,54.715,58.229
11-18-2024 17:00:00,52.37,49.268,53.406
11-18-2024 18:00:00,50.933,46.482,49.556
11-18-2024 19:00:00,50.29,45.96,50.168
11-18-2024 20:00:00,49.014,43.084,46.591
11-18-2024 21:00:00,46.65,39.635,42.803
11-18-2024 22:00:00,46.373,42.011,46.309
11-18-2024 23:00:00,46.951,44.261,47.579
11-19-2024 00:00:00,45.818,43.487,47.155
11-19-2024 01:00:00,44.006,41.143,45.011
11-19-2024 02:00:00,42.866,40.529,44.078
11-19-2024 03:00:00,41.803,38.969,42.798
11-19-2024 04:00:00,41.828,40.372,43.261
11-19-2024 05:00:00,41.185,38.457,41.52
11-19-2024 06:00:00,41.057,38.376,40.983
11-19-2024 07:00:00,45.277,44.006,44.738
11-19-2024 08:00:00,57.145,56.728,54.049
11-19-2024 09:00:00,67.107,66.917,61.472
11-19-2024 10:00:00,71.904,70.819,66.375
11-19-2024 11:00:00,77.486,74.97,73.774
11-19-2024 12:00:00,84.76,80.623,80.961
11-19-2024 13:00:00,81.731,67.435,79.427
11-19-2024 14:00:00,74.834,63.385,72.815
11-19-2024 15:00:00,63.934,59.479,63.544
11-19-2024 16:00:00,54.448,51.928,54.184
11-19-2024 17:00:00,52.336,50.06,51.516
11-19-2024 18:00:00,49.819,47.383,48.83
11-19-2024 19:00:00,53.65,50.539,51.844
11-19-2024 20:00:00,53.068,50.645,51.687
11-19-2024 21:00:00,52.871,50.291,51.339
11-19-2024 22:00:00,49.864,48.353,49.199
11-19-2024 23:00:00,49.148,47.951,48.432
11-20-2024 00:00:00,49.442,48.278,48.753
11-20-2024 01:00:00,49.628,48.628,49.019
11-20-2024 02:00:00,50.466,48.789,49.112
11-20-2024 03:00:00,50.886,48.96,49.621
11-20-2024 04:00:00,50.199,49.009,49.429
11-20-2024 05:00:00,50.739,49.444,49.76
11-20-2024 06:00:00,50.513,49.604,49.855
11-20-2024 07:00:00,51.996,51.146,51.102
11-20-2024 08:00:00,57.108,55.665,55.143
11-20-2024 09:00:00,65.683,63.458,63.077
11-20-2024 10:00:00,72.342,71.329,72.507
11-20-2024 11:00:00,72.099,71.007,71.605
11-20-2024 12:00:00,71.668,70.354,70.802
11-20-2024 13:00:00,71.559,69.942,70.291
11-20-2024 14:00:00,67.69,66.77,67.981
11-20-2024 15:00:00,62.077,59.087,62.673
11-20-2024 16:00:00,56.696,54.794,55.75
11-20-2024 17:00:00,56.097,54.216,54.807
11-20-2024 18:00:00,52.032,49.632,50.628
11-20-2024 19:00:00,49.728,46.39,47.585
11-20-2024 20:00:00,51.888,48.741,49.621
11-20-2024 21:00:00,54.195,52.633,53.002
11-20-2024 22:00:00,54.965,53.709,54.04
11-20-2024 23:00:00,54.216,53.03,53.468
11-21-2024 00:00:00,52.168,51.228,51.697
11-21-2024 01:00:00,51.451,50.722,51.176
11-21-2024 02:00:00,50.921,50.162,50.65
11-21-2024 03:00:00,47.747,47.184,47.329
11-21-2024 04:00:00,46.485,45.894,46.213
11-21-2024 05:00:00,45.567,45.083,45.439
11-21-2024 06:00:00,45.638,45.084,45.498
11-21-2024 07:00:00,45.704,45.384,45.403
11-21-2024 08:00:00,47.706,47.338,46.803
11-21-2024 09:00:00,49.962,49.126,48.271
11-21-2024 10:00:00,50.566,50.239,48.75
11-21-2024 11:00:00,50.189,50.194,48.775
11-21-2024 12:00:00,50.369,50.193,48.756
11-21-2024 13:00:00,47.556,47.693,46.685
11-21-2024 14:00:00,45.668,45.704,44.966
11-21-2024 15:00:00,42.571,42.253,42.099
11-21-2024 16:00:00,40.233,39.731,39.799
11-21-2024 17:00:00,39.723,39.123,39.24
11-21-2024 18:00:00,39.677,39.083,39.276
11-21-2024 19:00:00,39.468,38.926,39.059
11-21-2024 20:00:00,39.132,38.677,38.676
11-21-2024 21:00:00,39.022,38.619,38.609
11-21-2024 22:00:00,38.562,38.094,38.177
11-21-2024 23:00:00,38.485,37.939,38.116
11-22-2024 00:00:00,38.441,37.937,38.198
11-22-2024 01:00:00,38.396,37.856,38.375
11-22-2024 02:00:00,38.44,37.895,38.725
11-22-2024 03:00:00,38.107,38.104,38.742
11-22-2024 04:00:00,37.932,37.963,38.373
11-22-2024 05:00:00,37.467,37.134,37.505
11-22-2024 06:00:00,36.622,36.318,36.524
11-22-2024 07:00:00,37.404,37.497,37.157
11-22-2024 08:00:00,39.066,39.712,38.639
11-22-2024 09:00:00,39.433,40.594,39.061
11-22-2024 10:00:00,39.838,40.611,38.945
11-22-2024 11:00:00,39.884,40.531,39.558
11-22-2024 12:00:00,39.835,40.28,39.264
11-22-2024 13:00:00,39.157,39.629,38.657
11-22-2024 14:00:00,38.919,39.293,38.447
11-22-2024 15:00:00,37.749,38.007,37.511
11-22-2024 16:00:00,36.122,36.044,35.934
11-22-2024 17:00:00,35.7,35.654,35.477
11-22-2024 18:00:00,35.04,34.95,34.755
11-22-2024 19:00:00,35.531,35.111,34.893
11-22-2024 20:00:00,36.01,35.768,35.421
11-22-2024 21:00:00,35.772,35.659,35.28
11-22-2024 22:00:00,34.63,34.441,34.215
11-22-2024 23:00:00,34.513,34.574,34.384
11-23-2024 00:00:00,34.769,34.761,34.586
11-23-2024 01:00:00,34.608,34.599,34.392
11-23-2024 02:00:00,33.636,33.169,33.499
11-23-2024 03:00:00,35.338,35.101,35.161
11-23-2024 04:00:00,35.029,34.442,35.039
11-23-2024 05:00:00,33.117,31.777,33.758
11-23-2024 06:00:00,32.563,30.605,32.814
11-23-2024 07:00:00,35.21,33.994,35.165
11-23-2024 08:00:00,41.503,40.812,40.761
11-23-2024 09:00:00,51.678,52.552,48.475
11-23-2024 10:00:00,56.141,57.221,52.087
11-23-2024 11:00:00,57.889,60.539,54.466
11-23-2024 12:00:00,58.1,60.001,54.399
11-23-2024 13:00:00,56.057,54.753,54.263
11-23-2024 14:00:00,52.17,49.789,51.248
11-23-2024 15:00:00,49.094,45.547,49.072
11-23-2024 16:00:00,44.088,41.657,44.472
11-23-2024 17:00:00,41.216,38.946,41.725
11-23-2024 18:00:00,40.091,38.021,40.73
11-23-2024 19:00:00,42.758,41.232,42.582
11-23-2024 20:00:00,44.207,42.889,44.03
11-23-2024 21:00:00,44.164,41.955,44.658
11-23-2024 22:00:00,44.907,42.407,45.357
11-23-2024 23:00:00,44.493,43.174,45.032
11-24-2024 00:00:00,44.42,42.412,45.022
11-24-2024 01:00:00,43.378,42.011,43.821
11-24-2024 02:00:00,42.823,41.379,43.276
11-24-2024 03:00:00,41.154,39.301,41.412
11-24-2024 04:00:00,37.866,34.146,37.436
11-24-2024 05:00:00,36.537,32.524,35.796
11-24-2024 06:00:00,38.41,34.731,36.823
11-24-2024 07:00:00,40.142,36.585,38.883
11-24-2024 08:00:00,45.044,43.575,44.185
11-24-2024 09:00:00,51.441,49.393,50.971
11-24-2024 10:00:00,54.158,54.29,52.542
11-24-2024 11:00:00,63.307,65.033,59.757
11-24-2024 12:00:00,58.195,59.746,56.635
11-24-2024 13:00:00,58.27,56.302,57.566
11-24-2024 14:00:00,55.775,55.268,54.427
11-24-2024 15:00:00,53.059,51.602,52.854
11-24-2024 16:00:00,48.701,46.951,48.649
11-24-2024 17:00:00,44.399,42.034,45.025
11-24-2024 18:00:00,44.913,42.321,45.552
11-24-2024 19:00:00,44.328,41.666,44.416
11-24-2024 20:00:00,43.356,41.001,43.574
11-24-2024 21:00:00,41.598,39.677,41.888
11-24-2024 22:00:00,40.869,38.223,40.937
11-24-2024 23:00:00,42.532,40.198,42.251
11-25-2024 00:00:00,41.158,38.477,41.457
11-25-2024 01:00:00,38.322,35.618,38.535
11-25-2024 02:00:00,36.805,34.189,36.964
11-25-2024 03:00:00,34.447,31.895,33.52
11-25-2024 04:00:00,33.822,31.169,32.313
11-25-2024 05:00:00,32.025,29.191,30.638
11-25-2024 06:00:00,31.917,28.379,29.53
11-25-2024 07:00:00,34.064,30.69,31.738
11-25-2024 08:00:00,41.812,41.221,40.593
11-25-2024 09:00:00,54.172,54.008,51.083
11-25-2024 10:00:00,64.468,67.423,60.643
11-25-2024 11:00:00,71.368,72.247,66.585
11-25-2024 12:00:00,72.769,73.699,70.009
11-25-2024 13:00:00,74.141,60.74,70.894
11-25-2024 14:00:00,67.093,55.47,66.66
11-25-2024 15:00:00,58.196,50.463,59.468
11-25-2024 16:00:00,46.383,43.711,45.768
11-25-2024 17:00:00,46.525,44.234,45.683
11-25-2024 18:00:00,47.974,45.865,46.889
11-25-2024 19:00:00,49.371,47.586,48.18
11-25-2024 20:00:00,49.347,47.707,48.481
11-25-2024 21:00:00,49.296,47.455,48.19
11-25-2024 22:00:00,49.609,48.075,48.976
11-25-2024 23:00:00,49.583,48.418,49.019
11-26-2024 00:00:00,45.368,43.67,45.248
11-26-2024 01:00:00,44.302,40.707,42.211
11-26-2024 02:00:00,46.498,43.043,44.136
11-26-2024 03:00:00,46.797,43.804,44.621
11-26-2024 04:00:00,46.933,43.716,44.296
11-26-2024 05:00:00,49.101,46.458,46.962
11-26-2024 06:00:00,50.132,48.513,48.742
11-26-2024 07:00:00,50.621,49.719,49.871
11-26-2024 08:00:00,50.763,49.917,49.941
11-26-2024 09:00:00,52.465,51.893,51.589
11-26-2024 10:00:00,55.566,56.067,54.589
11-26-2024 11:00:00,65.217,65.59,61.193
11-26-2024 12:00:00,73.839,75.401,68.566
11-26-2024 13:00:00,72.353,66.528,70.172
11-26-2024 14:00:00,67.965,59.284,66.821
11-26-2024 15:00:00,60.253,54.524,60.402
11-26-2024 16:00:00,52.62,49.495,52.795
11-26-2024 17:00:00,48.29,45.28,48.99
11-26-2024 18:00:00,46.597,43.543,47.262
11-26-2024 19:00:00,43.27,40.208,44.256
11-26-2024 20:00:00,40.847,38.007,41.832
11-26-2024 21:00:00,38.701,35.581,39.207
11-26-2024 22:00:00,35.629,32.251,34.642
11-26-2024 23:00:00,34.592,30.61,32.131
11-27-2024 00:00:00,34.424,29.538,31.625
11-27-2024 01:00:00,35.491,31.02,33.008
11-27-2024 02:00:00,34.519,30.608,31.691
11-27-2024 03:00:00,32.572,28.704,30.087
11-27-2024 04:00:00,31.414,27.355,28.647
11-27-2024 05:00:00,30.016,26.425,27.462
11-27-2024 06:00:00,29.145,25.663,26.229
11-27-2024 07:00:00,33.366,29.804,30.215
11-27-2024 08:00:00,42.905,39.272,38.493
11-27-2024 09:00:00,54.46,53.993,51.301
11-27-2024 10:00:00,60.297,64.538,57.926
11-27-2024 11:00:00,60.073,62.728,58.13
11-27-2024 12:00:00,57.167,56.417,55.193
11-27-2024 13:00:00,59.874,56.292,58.751
11-27-2024 14:00:00,54.682,50.76,54.043
11-27-2024 15:00:00,48.941,46.659,48.88
11-27-2024 16:00:00,41.827,39.956,41.364
11-27-2024 17:00:00,40.359,37.189,38.309
11-27-2024 18:00:00,39.593,36.461,37.092
11-27-2024 19:00:00,40.402,37.326,38.325
11-27-2024 20:00:00,40.168,37.639,38.36
11-27-2024 21:00:00,40.239,38.15,38.47
11-27-2024 22:00:00,40.694,38.493,39.228
11-27-2024 23:00:00,41.024,39.152,39.578
11-28-2024 00:00:00,41.764,39.962,40.162
11-28-2024 01:00:00,42.064,40.023,40.289
11-28-2024 02:00:00,41.451,40.12,40.286
11-28-2024 03:00:00,40.923,40.119,40.309
11-28-2024 04:00:00,40.787,40.029,40.081
11-28-2024 05:00:00,40.935,40.341,40.453
11-28-2024 06:00:00,41.332,40.614,40.748
11-28-2024 07:00:00,42.564,41.939,42.056
11-28-2024 08:00:00,44.368,43.754,43.725
11-28-2024 09:00:00,45.91,45.279,45.254
11-28-2024 10:00:00,47.474,46.986,46.742
11-28-2024 11:00:00,49.194,48.478,48.303
11-28-2024 12:00:00,51.688,51.367,50.741
11-28-2024 13:00:00,50.826,50.733,50.058
11-28-2024 14:00:00,49.807,50.823,49.41
11-28-2024 15:00:00,47.333,47.141,46.664
11-28-2024 16:00:00,44.622,43.524,44.469
11-28-2024 17:00:00,44.548,43.664,44.367
11-28-2024 18:00:00,42.813,41.481,42.856
11-28-2024 19:00:00,42.397,41.39,42.375
11-28-2024 20:00:00,38.553,36.626,39.2
11-28-2024 21:00:00,36.566,34.193,36.981
